# 花语花园种子清单
# 列：中文名 | 英文名 | 学名 | 科 | 颜色（、分隔） | 别名（、分隔） | 花语 | 花期 | 简介 | 形态特征 | 花语与文化 | 分布与养护
# 以 # 开头的行会被忽略
name	en	latin	family	colors	aliases	meaning	season	blurb	morph	culture	care
晚香玉	Tuberose	Polianthes tuberosa	石蒜科	白	月下香、夜来香	危险的快乐	夏秋	夜晚香气格外浓郁。	多年生草本，花白色，穗状花序，夜晚香气尤浓。	象征危险的快乐，月下香之名。	原产墨西哥，喜暖光，球茎栽植。
百合	Lily	Lilium brownii	百合科	白	野百合	百年好合	夏	圣洁之花，幸福团圆。	多年生草本，鳞茎鳞片抱合，花白色或带紫纹，喇叭形。	象征百年好合，婚礼常用花。	原产中国，喜凉光，喜排水良好土壤。
卷丹	Tiger lily	Lilium lancifolium	百合科	橙、红	虎皮百合	财富、自信	夏	花瓣带斑如虎纹。	多年生草本，花橙红，花瓣反卷带紫黑斑，如虎纹。	象征财富与自信，虎皮百合。	原产中国，喜光，球根可食。
香水百合	Casa blanca lily	Lilium casa blanca	百合科	白	卡萨布兰卡	伟大的爱	夏	洁白芬芳，婚礼常客。	多年生草本，花大洁白，重瓣或单瓣，浓香。	象征伟大的爱，卡萨布兰卡之名浪漫。	栽培品种，喜凉光，忌闷热。
山丹	Pumilum lily	Lilium pumilum	百合科	红	细叶百合、山丹丹	热烈	夏	山丹丹开花红艳艳。	多年生草本，花鲜红，花瓣反卷，山野明艳。	象征热烈，山丹丹开花红艳艳。	原产中国北方，喜光耐寒。
郁金香	Tulip	Tulipa gesneriana	百合科	多彩	洋荷花	博爱、祝福	春	荷兰国花，色彩斑斓。	多年生草本，鳞茎扁圆，花杯状单生，色彩极丰。	象征博爱与祝福，荷兰国花。	原产中亚，喜冷凉，球根需低温春化。
风信子	Hyacinth	Hyacinthus orientalis	百合科	多彩	五色水仙	喜悦、重生	春	花香浓郁，串串铃铛。	多年生草本，鳞茎球状，花穗密集，钟形，香浓。	象征喜悦与重生，五色水仙。	原产地中海，喜冷凉，球根可水培。
葡萄风信子	Grape hyacinth	Muscari botryoides	百合科	蓝、紫	蓝壶花	忧郁	春	蓝色小串，如葡萄挂枝。	多年生草本，花蓝紫，小钟形密生成串，如葡萄。	象征忧郁，蓝色小花串串垂。	原产欧洲，喜凉光，球根植物。
铃兰	Lily of the valley	Convallaria majalis	百合科	白	君影草、谷中百合	幸福归来	春	白色铃铛，幸福摇响。	多年生草本，叶卵形，花白铃铛状，悬垂成串。	象征幸福归来，谷中百合。	原产北半球温带，喜半阴湿润凉爽。
萱草	Daylily	Hemerocallis fulva	百合科	橙、黄	忘忧草	忘记忧愁	夏	一花一谢，日日新颜。	多年生草本，花橙黄，漏斗形，每朵仅开一日。	象征忘记忧愁，忘忧草之名。	原产中国，喜光耐旱，花可食用。
大花萱草	Hybrid daylily	Hemerocallis hybrida	百合科	多彩	杂交萱草	快乐	夏	花色繁多，灿烂一夏。	多年生草本，花大色艳，多彩，花期长。	象征快乐，现代园艺杂交种。	栽培品种，喜光，耐旱耐热。
玉簪	Fragrant plantain lily	Hosta plantaginea	百合科	白	玉春棒、白鹤仙	恬静	夏秋	白花如玉簪，幽香宜人。	多年生草本，叶大心形，花白色，芳香，黄昏开放。	象征恬静，玉春棒之名雅致。	原产中国，喜阴湿，忌强光。
紫萼	Blue plantain lily	Hosta ventricosa	百合科	紫	紫玉簪	宁静	夏	紫色钟形花，清雅含蓄。	多年生草本，叶似玉簪，花紫色，钟形。	象征宁静，林下阴生佳品。	原产中国，喜阴湿。
德国鸢尾	German iris	Iris germanica	鸢尾科	紫、蓝	鸢尾花	爱的使者	春末	花大色艳，虹膜如彩。	多年生草本，根茎粗壮，花大，紫蓝黄白，垂瓣带须。	象征爱的使者，虹膜之名源于花色。	原产欧洲，喜光，耐旱，忌涝。
鸢尾	Japanese roof iris	Iris tectorum	鸢尾科	蓝、紫	蓝蝴蝶、扁竹花	想念你	春	蓝色花瓣如蝴蝶飞舞。	多年生草本，花蓝紫色，外轮垂瓣，叶剑形。	象征想念你，蓝蝴蝶振翅欲飞。	原产中国，喜半阴湿润。
黄菖蒲	Yellow iris	Iris pseudacorus	鸢尾科	黄	水生鸢尾	信守承诺	春末夏	水边的一抹亮黄。	多年生水生草本，花黄色，生于水边，叶剑形。	象征信守承诺，水边亮色。	原产欧洲，已广植，喜水湿强光。
溪荪	Siberian iris	Iris sanguinea	鸢尾科	蓝、紫	东方鸢尾	优雅	初夏	花姿挺拔，蓝紫雅致。	多年生草本，花蓝紫，花茎直立，水边雅致。	象征优雅，东方鸢尾。	原产东亚，喜湿润半阴。
马蔺	Lactea iris	Iris lactea	鸢尾科	蓝、紫	马兰花	善良	春	蓝紫色小花，韧性十足。	多年生草本，花蓝紫，叶坚韧，生于路旁草地。	象征善良，马兰花是儿歌主角。	原产中国，耐旱耐盐碱，极强韧。
射干	Blackberry lily	Belamcanda chinensis	鸢尾科	橙、红	乌扇、扁竹兰	阳光	夏	花瓣橙红带斑，如蝶似星。	多年生草本，花橙红带斑，花后蒴果如黑色浆果。	象征阳光，扁竹兰之名。	原产东亚，喜光耐旱。
唐菖蒲	Gladiolus	Gladiolus gandavensis	鸢尾科	多彩	剑兰、菖兰	用心	夏秋	剑形叶，花穗直上。	多年生草本，叶剑形，花穗直立，花色繁多。	象征用心，剑兰切花之王。	原产非洲，喜光，球茎栽植。
小苍兰	Freesia	Freesia refracta	鸢尾科	多彩	香雪兰	纯洁	春	花香清雅，色彩柔和。	多年生草本，花漏斗形，多彩，芳香清雅。	象征纯洁，香雪兰之名。	原产南非，喜凉光，球茎植物。
番红花	Saffron crocus	Crocus sativus	鸢尾科	紫、白	藏红花、西红花	喜悦	秋	秋日里的紫色惊喜。	多年生草本，花紫白，柱头红色，秋季开放。	象征喜悦，藏红花为珍贵香料。	原产欧洲与西亚，喜凉光，球茎栽植。
大花葱	Giant allium	Allium giganteum	石蒜科	紫	巨葱、硕葱	聪明	春末	紫色花球，圆润可爱。	多年生草本，花紫红色，球状花序硕大，亭亭玉立。	象征聪明，巨型葱花。	原产中亚，喜光，忌积水。
紫娇花	Society garlic	Tulbaghia violacea	石蒜科	紫	野蒜、非洲小百合	坚强	夏	蒜香小花，紫色成丛。	多年生草本，叶似韭，花紫色，伞形花序，具蒜香。	象征坚强，非洲小百合。	原产南非，喜光耐旱。
春兰	Spring orchid	Cymbidium goeringii	兰科	绿、黄	兰花、朵兰	高洁、清雅	春	空谷幽兰，王者之香。	多年生草本，叶狭带形，花单生，黄绿色，幽香。	象征高洁清雅，空谷幽兰。	原产中国，喜半阴凉爽湿润。
蕙兰	Faber cymbidium	Cymbidium faberi	兰科	黄、绿	九子兰、夏兰	丰盛	春	花繁叶茂，气势挺拔。	多年生草本，叶直立，花茎挺出，花多黄绿，香浓。	象征丰盛，九子兰之名。	原产中国，喜凉爽半阴。
建兰	Four-season orchid	Cymbidium ensifolium	兰科	黄、绿	四季兰、秋兰	清雅	夏秋	四季可赏，香清色淡。	多年生草本，叶宽，花黄绿，夏秋开放，四季可赏。	象征清雅，四季兰之名。	原产中国南方，喜温暖半阴。
墨兰	Chinese cymbidium	Cymbidium sinense	兰科	紫、褐	报岁兰、入岁兰	淡泊	冬春	花色深浓，岁末开花。	多年生草本，叶宽厚，花色深褐紫，冬春开放。	象征淡泊，报岁兰迎春。	原产中国南方，喜温暖湿润半阴。
寒兰	Cold orchid	Cymbidium kanran	兰科	绿、紫	冬兰	清冷	冬	花姿清瘦，幽香袭人。	多年生草本，叶窄，花绿紫，花姿清瘦，冬开。	象征清冷，幽香独守寒窗。	原产中国南方，喜凉爽半阴。
蝴蝶兰	Moth orchid	Phalaenopsis aphrodite	兰科	多彩	蝶兰	幸福飞来	冬春	形如彩蝶，优雅端庄。	多年生附生草本，花形如蝶，多彩，花序拱垂。	象征幸福飞来，年宵花之王。	原产东南亚，喜暖湿半阴，附生栽培。
大花蕙兰	Cymbidium hybridum	Cymbidium hybridum	兰科	多彩	虎头兰、喜姆比兰	高贵	冬春	花大色艳，年宵花卉。	多年生草本，花大色艳，花序直立，冬春上市。	象征高贵，年宵名品。	栽培杂交种，喜凉爽昼夜温差。
兜兰	Slipper orchid	Paphiopedilum insigne	兰科	黄、绿、紫	拖鞋兰	谦逊	冬春	唇瓣如兜，奇特可爱。	多年生草本，唇瓣袋状如拖鞋，花形奇特。	象征谦逊，拖鞋兰之名。	原产亚洲热带，喜暖湿半阴。
石斛	Dendrobium	Dendrobium nobile	兰科	粉、白、紫	金钗石斛	父爱	春夏	附生兰花，药食同源。	多年生附生草本，茎节状，花白粉紫，可观可药。	象征父爱，金钗石斛是名药材。	原产亚洲热带，喜暖湿半阴，附生栽培。
秋石斛	Phalaenopsis dendrobium	Dendrobium phalaenopsis	兰科	多彩	蝴蝶石斛	欢迎	夏秋	花似蝴蝶，色彩明快。	多年生附生草本，花似蝴蝶，色彩明快，秋开。	象征欢迎，蝴蝶石斛。	原产大洋洲热带，喜暖光湿润。
文心兰	Dancing lady orchid	Oncidium flexuosum	兰科	黄	跳舞兰、吉祥兰	隐藏的爱	秋冬	金色小花如舞者翩跹。	多年生附生草本，花金黄，唇瓣似舞裙，繁密。	象征隐藏的爱，跳舞兰之名。	原产美洲热带，喜暖湿半阴。
卡特兰	Cattleya	Cattleya labiata	兰科	多彩	嘉德丽亚兰	敬爱	秋冬	兰中皇后，花大华美。	多年生附生草本，花大华美，唇瓣突出，兰中皇后。	象征敬爱，嘉德丽亚兰。	原产美洲热带，喜暖湿强光。
万代兰	Blue vanda	Vanda coerulea	兰科	蓝、紫	蓝色万代兰	高雅	夏秋	天蓝色花朵，稀有美丽。	多年生附生草本，花蓝紫，唇瓣深色，附生气生根。	象征高雅，天蓝花朵稀有。	原产东南亚，喜高温强光湿润。
鹤顶兰	Phaius orchid	Phaius tankervilleae	兰科	棕、红	仙鹤兰	庄重	春夏	花梗高挺，花似仙鹤。	多年生地生兰，花梗高，花棕红，似仙鹤。	象征庄重，大花地生兰。	原产亚洲热带，喜暖湿半阴。
白及	Hyacinth bletilla	Bletilla striata	兰科	粉、紫	紫兰、连及草	纯洁	春	紫粉小花，林下精灵。	多年生地生兰，花紫粉，唇瓣明显，块茎入药。	象征纯洁，林下精灵。	原产东亚，喜凉爽半阴湿润。
虾脊兰	Calanthe	Calanthe discolor	兰科	紫、白	细辛兰	清秀	春	花姿小巧，山林野趣。	多年生地生兰，花紫白，小巧，早春开放。	象征清秀，山林野趣。	原产东亚，喜凉爽湿润半阴。
杓兰	Lady's slipper	Cypripedium calceolus	兰科	黄、紫	仙履兰	谦逊	春末夏	唇瓣如靴，欧洲珍品。	多年生地生兰，唇瓣囊状如靴，黄紫相间。	象征谦逊，仙履兰之名。	原产北温带，喜凉爽湿润。
球兰	Wax flower	Hoya carnosa	萝藦科	粉、白	蜡花、樱兰	青春美丽	夏	花球如蜡，清甜芬芳。	常绿攀援藤本，叶肉质，花球状，粉白蜡质，香。	象征青春美丽，蜡花之名。	原产亚洲热带，喜半阴，忌暴晒。
鹤望兰	Bird of paradise	Strelitzia reginae	芭蕉科	橙、蓝	天堂鸟、极乐鸟花	自由	四季	形如仙鹤，展翅欲飞。	多年生草本，叶似芭蕉，花橙蓝，形如仙鹤。	象征自由，天堂鸟之花。	原产南非，喜暖光，忌涝。
旅人蕉花	Traveller's palm	Ravenala madagascariensis	芭蕉科	白	扇芭蕉	热情	四季	扇形大叶，洁白花序。	常绿乔木状草本，叶扇形巨大，花白色。	象征热情，马达加斯加国树。	原产马达加斯加，喜暖湿强光。
蝎尾蕉	Hanging lobster claw	Heliconia rostrata	芭蕉科	红、黄	垂花火鸟蕉	热情	四季	垂吊红花，热带风情。	多年生草本，花序垂挂，红黄苞片如龙虾爪。	象征热情，热带花材。	原产南美热带，喜暖湿半阴。
红掌	Anthurium	Anthurium andraeanum	天南星科	红、粉、白	花烛、安祖花	热情、好运	四季	佛焰苞明艳，寓意大展宏图。	多年生草本，佛焰苞红粉白，肉穗花序金黄，四季开花。	象征热情好运，大展宏图。	原产南美热带，喜暖湿半阴。
白掌	Peace lily	Spathiphyllum wallisii	天南星科	白	一帆风顺、白鹤芋	平静	四季	白色佛焰苞如白帆。	多年生草本，佛焰苞白色，似白帆，四季开花。	象征平静，一帆风顺。	原产美洲热带，喜半阴湿润。
马蹄莲	Calla lily	Zantedeschia aethiopica	天南星科	白、黄、粉	慈姑花、水芋	忠贞不渝	春	马蹄形花朵，清丽脱俗。	多年生草本，佛焰苞白黄粉，漏斗形，挺立。	象征忠贞不渝，慈姑花之名。	原产非洲，喜暖湿半阴。
海芋花	Giant alocasia	Alocasia macrorrhiza	天南星科	白	滴水观音	纯净	夏	巨型佛焰苞，亭亭玉立。	多年生草本，叶巨大箭形，佛焰苞白色，亭亭玉立。	象征纯净，滴水观音。	原产亚洲热带，喜暖湿半阴。
荷花	Lotus	Nelumbo nucifera	莲科	粉、白	莲花、水芙蓉	纯洁高雅	夏	出淤泥而不染，濯清涟而不妖。	多年生水生草本，叶盾形，花粉白，挺出水面。	出淤泥而不染，象征纯洁高雅。	原产亚洲，喜温暖强光，水池栽植。
睡莲	Water lily	Nymphaea tetragona	睡莲科	多彩	子午莲	洁净、纯真	夏	清晨绽放，午后闭合。	多年生水生草本，叶圆形浮水，花多彩，昼开夜合。	象征洁净纯真，子午莲之名。	原产全球温热带，喜暖光静水。
王莲	Victoria water lily	Victoria amazonica	睡莲科	白、粉	帝王莲、亚马逊王莲	霸气	夏秋	叶片可载人，花硕大。	多年生水生草本，叶巨大如盘，可载人，花白转粉。	象征霸气，亚马逊王莲。	原产南美亚马逊，喜高温强光。
萍蓬草	Yellow water lily	Nuphar pumila	睡莲科	黄	黄金莲	宁静	夏	金黄小花浮于水面。	多年生水生草本，叶心形浮水，花金黄，挺出水面。	象征宁静，黄金莲。	原产北半球，喜暖光浅水。
芡实花	Fox nut flower	Euryale ferox	睡莲科	紫	鸡头米花	含蓄	夏	紫花出水，果可食用。	一年生水生草本，叶面多刺，花紫，果可食。	象征含蓄，鸡头米之花。	原产亚洲，喜暖光静水。
千屈菜	Purple loosestrife	Lythrum salicaria	千屈菜科	紫、红	水柳	夏日的清凉	夏	水边紫红花穗。	多年生湿生草本，花紫红，穗状花序，水边成丛。	象征夏日的清凉，水柳之名。	原产欧亚，喜水湿强光。
再力花	Powdery alligator-flag	Thalia dealbata	竹芋科	紫、白	水竹芋	清逸	夏秋	水生挺拔，花穗雅致。	多年生水生草本，叶大，花紫白，花梗挺拔。	象征清逸，水竹芋。	原产美洲，喜暖湿强光。
美人蕉	Canna	Canna indica	美人蕉科	红、黄、橙	红艳蕉	坚实的未来	夏秋	大叶大花，热带风情。	多年生草本，叶大，花红黄橙，总状花序，热带风情。	象征坚实的未来，红艳蕉。	原产美洲热带，喜暖光湿润。
大花美人蕉	Large-flowered canna	Canna generalis	美人蕉科	多彩	法尼亚美人蕉	热恋	夏秋	花大色艳，庭院焦点。	多年生草本，花大色艳，多彩，花期长。	象征热恋，庭院焦点。	栽培杂交种，喜暖光湿润。
凤眼莲	Water hyacinth	Eichhornia crassipes	雨久花科	紫、蓝	水葫芦	不安	夏秋	蓝紫花朵，浮水而生。	多年生浮水草本，叶柄膨大如葫芦，花蓝紫，上有黄斑。	象征不安，水葫芦之害。	原产南美，繁殖极快，需控养。
梭鱼草	Pickerel weed	Pontederia cordata	雨久花科	蓝、紫	海寿花	清新	夏	水边蓝紫色花穗。	多年生水生草本，叶箭形，花蓝紫，穗状花序。	象征清新，海寿花。	原产北美，喜暖湿强光。
菖蒲花	Sweet flag flower	Acorus calamus	菖蒲科	黄、绿	白菖蒲	信仰	夏	水边绿剑，端午香草。	多年生水生草本，叶剑形如蒲，花黄绿，肉穗花序。	象征信仰，端午香草。	原产东亚，喜水湿半阴。
慈姑花	Arrowhead flower	Sagittaria trifolia	泽泻科	白	燕尾草花	坚韧	夏	三白花瓣，水中清影。	多年生水生草本，叶箭形，花白色，三枚花瓣。	象征坚韧，燕尾草之花。	原产亚洲，喜暖湿浅水。
泽泻花	Water plantain	Alisma plantago-aquatica	泽泻科	白、粉	水白菜花	清幽	夏	细小白花，亭立水畔。	多年生水生草本，叶卵形，花白粉，伞形花序。	象征清幽，水白菜之花。	原产欧亚，喜水湿强光。
向日葵	Sunflower	Helianthus annuus	菊科	黄	太阳花、葵花	忠诚、向阳	夏秋	永远追逐太阳的光芒。	一年生草本，茎粗壮，头状花序金黄，随日转。	象征忠诚向阳，永远的追光者。	原产北美，喜光，耐旱耐热。
雏菊	English daisy	Bellis perennis	菊科	白、粉	延命菊	天真、和平	春	小小雏菊，纯真无邪。	多年生草本，头状花序白粉，花心金黄，矮小丛生。	象征天真和平，延命菊。	原产欧洲，喜凉光，耐寒。
波斯菊	Cosmos	Cosmos bipinnatus	菊科	粉、白、紫	秋英、大波斯菊	自由、少女心	夏秋	随风摇曳，浪漫花海。	一年生草本，花白粉紫，舌状花八枚，轻盈摇曳。	象征自由与少女心，秋英。	原产墨西哥，喜光耐旱，自播力强。
硫华菊	Golden cosmos	Cosmos sulphureus	菊科	黄、橙	黄秋英	野性美	夏秋	金黄色调，热烈明快。	一年生草本，花金黄橙红，花瓣舒展，热烈。	象征野性美，黄秋英。	原产墨西哥，喜光，花期长。
金盏菊	Pot marigold	Calendula officinalis	菊科	黄、橙	长生菊、金盏花	离别、惜别	春夏	金黄灿烂，花期长久。	一年生或多年生草本，花黄橙，花瓣重，春日开放。	象征离别惜别，长生菊。	原产地中海，喜凉光，耐寒。
翠菊	China aster	Callistephus chinensis	菊科	多彩	江西腊、七月菊	可靠的爱	夏秋	花色繁多，明丽清新。	一年生草本，花多彩，头状花序，夏秋开放。	象征可靠的爱，江西腊。	原产中国，喜光，忌连作。
紫菀	Tatarian aster	Aster tataricus	菊科	紫、蓝	青菀	追忆	秋	秋日紫色小菊，淡雅宜人。	多年生草本，花紫蓝，头状花序，秋日开放。	象征追忆，秋色小菊。	原产东亚，喜光耐寒。
菊花	Chrysanthemum	Dendranthema morifolium	菊科	多彩	秋菊、黄花	高洁、长寿	秋	采菊东篱下，悠然见南山。	多年生草本，花型花色极丰，秋日盛放，凌霜不凋。	象征高洁长寿，花中四君子之一。	原产中国，喜光，短日照促花。
万寿菊	Marigold	Tagetes erecta	菊科	黄、橙	臭芙蓉、万寿灯	健康长寿	夏秋	金黄花球，寓意长寿。	一年生草本，花金黄橙红，球状重瓣，夏秋开放。	象征健康长寿，臭芙蓉。	原产墨西哥，喜光，耐热。
孔雀草	French marigold	Tagetes patula	菊科	黄、橙	小万寿菊	惜别	夏秋	红黄花边，热闹明快。	一年生草本，花黄橙带红晕，密集，夏秋开放。	象征惜别，小万寿菊。	原产墨西哥，喜光，花坛常用。
百日草	Zinnia	Zinnia elegans	菊科	多彩	步步高、百日菊	友谊	夏秋	节节升高，寓意上进。	一年生草本，花多彩，头状花序单生，节节升高。	象征友谊与上进，步步高。	原产墨西哥，喜光耐旱。
大丽花	Dahlia	Dahlia pinnata	菊科	多彩	天竺牡丹、大理花	大方、富贵	夏秋	花型多变，雍容华丽。	多年生草本，块根，花型硕大多变，多彩。	象征大方富贵，天竺牡丹。	原产墨西哥，喜凉光，忌霜。
小丽花	Dwarf dahlia	Dahlia hybrida	菊科	多彩	迷你大丽花	风趣	夏秋	小巧精致，花园点缀。	多年生草本，花型似大丽花而小巧，多彩。	象征风趣，迷你大丽花。	栽培品种，喜光，花期长。
非洲菊	Gerbera	Gerbera jamesonii	菊科	多彩	扶郎花、太阳花	神秘、互敬互爱	四季	花大色艳，瓶插之选。	多年生草本，花大，多彩，花茎长，切花之王。	象征互敬互爱，扶郎花。	原产南非，喜暖光，忌涝。
玛格丽特	Marguerite daisy	Argyranthemum frutescens	菊科	白、粉、黄	木茼蒿、蓬蒿菊	期待的爱	春夏	白色小花，温柔清新。	多年生草本，花白粉黄，细瓣繁密，春开成球。	象征期待的爱，木茼蒿。	原产加那利群岛，喜凉光。
洋甘菊	Chamomile	Matricaria chamomilla	菊科	白、黄	母菊	逆境中的坚强	春夏	香气清甜，安神佳品。	一年生草本，花白瓣黄心，气味清甜，可代茶。	象征逆境中的坚强，母菊。	原产欧亚，喜凉光，自播力强。
德国洋甘菊	German chamomile	Matricaria recutita	菊科	白、黄	洋甘菊	治愈	春夏	金黄芯，白花瓣，清雅。	一年生草本，花白瓣黄心，茎中空，精油入药。	象征治愈，洋甘菊茶之源。	原产欧洲，喜光，耐旱。
金光菊	Cutleaf coneflower	Rudbeckia laciniata	菊科	黄	黄菊芋	公正	夏秋	金黄花瓣，明艳照人。	多年生草本，花金黄，舌状花下垂，花心高起。	象征公正，黄菊芋。	原产北美，喜光，耐旱。
黑心金光菊	Black-eyed Susan	Rudbeckia hirta	菊科	黄	黑心菊	公平	夏秋	金黄花瓣配深色花心。	一年生或多年生草本，花金黄，花心黑褐，明艳。	象征公平，黑眼菊。	原产北美，喜光耐旱。
松果菊	Purple coneflower	Echinacea purpurea	菊科	粉、紫	紫锥菊	健康	夏秋	花心突起如松果。	多年生草本，花紫粉，花心球状凸起如松果。	象征健康，紫锥菊是草药明星。	原产北美，喜光耐旱。
天人菊	Firewheel	Gaillardia pulchella	菊科	红、黄	虎皮菊	团结	夏秋	红黄双色，热烈粗犷。	一年生或多年生草本，花红黄双色，粗犷热烈。	象征团结，虎皮菊。	原产北美，喜光耐旱耐热。
蒲公英	Dandelion	Taraxacum officinale	菊科	黄	婆婆丁	自由、坚持	春	黄花满地，绒球随风。	多年生草本，花金黄，果序白色绒球，随风散播。	象征自由坚持，婆婆丁。	原产北半球，喜光，适应性强。
蓍草	Yarrow	Achillea millefolium	菊科	白、粉	千叶蓍	治愈	夏	羽状细叶，伞形小花。	多年生草本，叶羽状细裂，花白粉，伞房花序。	象征治愈，千叶蓍。	原产北半球，喜光耐旱。
大滨菊	Max chrysanthemum	Leucanthemum maximum	菊科	白	西洋滨菊	真诚	夏	纯白花瓣，金黄花心。	多年生草本，花白瓣金心，花大，夏开。	象征真诚，西洋滨菊。	原产欧洲，喜光耐寒。
滨菊	Oxeye daisy	Leucanthemum vulgare	菊科	白	牛眼菊	友谊	夏	田野里的经典白菊。	多年生草本，花白瓣金心，田野经典白菊。	象征友谊，牛眼菊。	原产欧洲，喜光耐旱。
荷兰菊	New York aster	Aster novi-belgii	菊科	紫、粉	纽约紫菀	诚信	秋	紫色小花，秋日盛放。	多年生草本，花紫粉，头状花序密集，秋开。	象征诚信，纽约紫菀。	原产北美，喜光耐寒。
堆心菊	Sneezeweed	Helenium autumnale	菊科	黄、橙	臭菊	平安	夏秋	花瓣外展，中心凸起。	多年生草本，花黄橙，花瓣外展，花心高凸。	象征平安，臭菊。	原产北美，喜光湿润。
蓝眼菊	African daisy	Osteospermum ecklonis	菊科	蓝、紫、白	蓝目菊	活力	春夏	蓝紫色花心如眼眸。	多年生草本，花白蓝紫，花心蓝紫如眼眸。	象征活力，蓝目菊。	原产南非，喜暖光耐旱。
勋章菊	African sunflower	Gazania rigens	菊科	橙、黄	非洲太阳花	辉煌	春夏	花色斑斓如勋章。	多年生草本，花橙黄带斑纹，如勋章华丽。	象征辉煌，非洲太阳花。	原产南非，喜强光，日开夜合。
金鸡菊	Lanceleaf coreopsis	Coreopsis lanceolata	菊科	黄	剑叶波斯菊	竞争心	夏秋	金黄小花，灿烂成片。	多年生草本，花金黄，舌状花四至六枚，灿烂。	象征竞争心，剑叶波斯菊。	原产北美，喜光耐旱。
蛇鞭菊	Blazing star	Liatris spicata	菊科	紫、粉	麒麟菊	热情	夏秋	紫色花穗自下而上开放。	多年生草本，花紫粉，穗状花序自下而上开放。	象征热情，麒麟菊。	原产北美，喜光湿润。
麦秆菊	Strawflower	Xerochrysum bracteatum	菊科	多彩	蜡菊、永久花	永恒的记忆	夏秋	花瓣干燥如蜡，久放不谢。	一年生或多年生草本，苞片干燥如蜡，久放不谢。	象征永恒的记忆，蜡菊。	原产澳洲，喜光，宜干花。
矢车菊	Cornflower	Centaurea cyanus	菊科	蓝、紫	蓝芙蓉、翠蓝	遇见幸福	春	深邃蓝紫，清新灵动。	一年生草本，花蓝紫，头状花序，边缘花裂。	象征遇见幸福，蓝芙蓉。	原产欧洲，喜凉光，蜜源植物。
飞燕草	Larkspur	Consolida ajacis	毛茛科	蓝、紫、粉	千鸟草	自由	春夏	花穗高挑，如燕群飞。	一年生草本，花蓝紫粉，总状花序高挑，如燕群飞。	象征自由，千鸟草。	原产欧洲，喜凉光，忌暑湿。
翠雀花	Delphinium	Delphinium grandiflorum	毛茛科	蓝、紫	大花飞燕草	清静	夏	蓝色花穗，园艺名角。	多年生草本，花蓝紫，距细长，花穗挺拔。	象征清静，大花飞燕草。	原产北温带，喜凉光，忌高温。
黑种草	Love in a mist	Nigella damascena	毛茛科	蓝、白	波斯黑种草	梦幻	春夏	花姿轻盈，果如气泡。	一年生草本，花蓝白，叶细裂，果如气泡。	象征梦幻，波斯黑种草。	原产地中海，喜凉光，自播力强。
银莲花	Anemone	Anemone coronaria	毛茛科	红、粉、蓝	罂粟秋牡丹	期待	春夏	色彩浓艳，花心深邃。	多年生草本，花红粉蓝，瓣多而薄，花心深色。	象征期待，罂粟秋牡丹。	原产地中海，喜凉光，忌湿热。
花毛茛	Persian buttercup	Ranunculus asiaticus	毛茛科	多彩	波斯毛茛、洋牡丹	魅力	春	层叠花瓣如牡丹。	多年生草本，块根，花重瓣似牡丹，多彩。	象征魅力，洋牡丹。	原产西亚，喜凉光，忌暑湿。
毛茛	Japanese buttercup	Ranunculus japonicus	毛茛科	黄	老虎脚爪草	童真	春	金黄小花，田边常见。	多年生草本，花金黄，具光泽，田边常见。	象征童真，老虎脚爪草。	原产东亚，喜湿润半阴。
白头翁	Chinese pasqueflower	Pulsatilla chinensis	毛茛科	紫	老公花	追忆	春	紫花垂首，果毛如翁。	多年生草本，花紫，果序银发如翁，早春开放。	象征追忆，老公花。	原产东亚，喜光耐寒，忌涝。
铁线莲	Clematis	Clematis florida	毛茛科	紫、白、粉	藤本皇后	高洁	春夏	花大色繁，藤蔓优雅。	多年生藤本，花大，紫白粉，花瓣状萼片，藤本皇后。	象征高洁，攀援成墙。	原产北温带，喜光，根喜阴凉。
大花铁线莲	Patens clematis	Clematis patens	毛茛科	多彩	大花钟花藤	心灵之美	春夏	碗状大花，色彩丰富。	多年生藤本，花碗状硕大，多彩，春夏盛开。	象征心灵之美，花园明星。	栽培品种，喜光，忌暴晒根部。
牡丹	Tree peony	Paeonia suffruticosa	芍药科	红、粉、白、紫	木芍药、富贵花	富贵圆满	春末	花中之王，国色天香。	落叶灌木，花大色艳，层层叠瓣，花中之王。	象征富贵圆满，国色天香。	原产中国，喜凉光，忌积水，宜秋栽。
芍药	Chinese peony	Paeonia lactiflora	芍药科	多彩	将离、殿春花	情有所钟	春末夏初	花相之美，依依惜别。	多年生草本，花大，瓣多，粉红白紫，春末开放。	象征情有所钟，将离之花。	原产中国，喜光耐寒，花后可分株。
荷包牡丹	Bleeding heart	Dicentra spectabilis	罂粟科	粉、红、白	兔儿牡丹	同情	春夏	心形花朵，串串垂挂。	多年生草本，花心形悬垂，粉红白，串串如荷包。	象征同情，兔儿牡丹。	原产东亚与北美，喜半阴凉爽。
虞美人	Field poppy	Papaver rhoeas	罂粟科	红、粉	丽春花	安慰	春夏	花瓣如绸，轻盈摇曳。	一年生草本，花红粉，瓣薄如绸，随风摇曳。	象征安慰，丽春花。	原产欧亚，喜凉光，自播力强。
